Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Reason,Duration,equity,returns
ETHUSDT:USDT,Short,2024-04-12 17:00:00,2024-04-12 18:15:00,3412.78076,3312.9627,0.8465717661277523,TP_Hit,0 days 01:15:00,1000.8465717661278,0.0
ETHUSDT:USDT,Short,2024-04-12 18:15:00,2024-04-13 01:30:00,3299.7373,3192.2818199999997,0.9469342212396441,TP_Hit,0 days 07:15:00,1001.7935059873674,0.0009461332515419141
BTCUSDT:USDT,Short,2024-04-12 18:00:00,2024-04-13 01:45:00,68071.584,66060.1566,0.8561220998488039,TP_Hit,0 days 07:45:00,1002.6496280872162,0.0008545893886635625
BTCUSDT:USDT,Short,2024-04-13 01:45:00,2024-04-13 03:15:00,65796.4434,66945.123,-0.554778472764422,SL_Hit,0 days 01:30:00,1002.0948496144517,-0.0005533124006866785
ETHUSDT:USDT,Short,2024-04-13 01:30:00,2024-04-13 03:45:00,3179.53818,3238.52412,-0.5875007952945595,Trailing_Stop,0 days 02:15:00,1001.5073488191572,-0.0005862726422759534
ETHUSDT:USDT,Short,2024-04-13 19:00:00,2024-04-13 19:45:00,3213.1109,3089.53674,1.1243189404623664,TP_Hit,0 days 00:45:00,1002.6316677596196,0.001122626750355904
BTCUSDT:USDT,Short,2024-04-13 19:00:00,2024-04-13 19:45:00,66915.00180000001,64908.6582,0.8699137294565631,TP_Hit,0 days 00:45:00,1003.5015814890761,0.0008676304144674685
ETHUSDT:USDT,Short,2024-04-13 20:30:00,2024-04-13 21:15:00,2955.93628,2869.9785,0.844440411460198,TP_Hit,0 days 00:45:00,1004.3460219005364,0.0008414938521643656
BTCUSDT:USDT,Short,2024-04-13 20:00:00,2024-04-13 22:30:00,62437.9738,64680.8034,-1.110424713852506,Trailing_Stop,0 days 02:30:00,1003.2355971866839,-0.0011056196665678586
ETHUSDT:USDT,Short,2024-04-13 21:45:00,2024-04-13 22:30:00,2944.56906,3028.31454,-0.8859951933430175,Trailing_Stop,0 days 00:45:00,1002.3496019933408,-0.000883137715435578
ETHUSDT:USDT,Short,2024-04-13 23:00:00,2024-04-14 03:00:00,3034.14954,2918.76588,1.1123166229445296,TP_Hit,0 days 04:00:00,1003.4619186162854,0.0011097092478837833
ETHUSDT:USDT,Short,2024-04-14 03:45:00,2024-04-14 04:15:00,2963.33146,3046.24032,-0.8715151775277015,Trailing_Stop,0 days 00:30:00,1002.5904034387577,-0.0008685084718804692
