Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Cum_PnL,HWM,Drawdown_USD,equity,returns
ETH/USDT,2024-06-01 21:00:00,2024-06-02 02:00:00,Long,3810.954525,3822.417835,0.010049811969351938,AI_Flip_Bear,0.010049811969351938,0.010049811969351938,0.0,10.010049811969353,0.0
ETH/USDT,2024-06-02 02:15:00,2024-06-02 04:00:00,Short,3814.521785,3809.88399,-0.007853897641326235,AI_Flip_Bull,0.0021959143280257023,0.010049811969351938,-0.007853897641326235,10.002195914328025,-0.0007846012546247616
ETH/USDT,2024-06-02 04:15:00,2024-06-02 05:00:00,Long,3813.2356649999997,3816.9505700000004,-0.010267608873314349,AI_Flip_Bear,-0.008071694545288647,0.010049811969351938,-0.018121506514640583,9.991928305454712,-0.00102653546893694
BTC/USDT,2024-06-01 21:00:00,2024-06-02 11:00:00,Short,67718.92360000001,67612.98959999999,-0.0043724530199084725,AI_Flip_Bull,-0.01244414756519712,0.010049811969351938,-0.02249395953454906,9.987555852434802,-0.0004375985181481745
ETH/USDT,2024-06-02 05:15:00,2024-06-02 11:00:00,Short,3811.2034450000006,3783.19065,0.05342767870792724,AI_Flip_Bull,0.040983531142730116,0.040983531142730116,0.0,10.04098353114273,0.005349424773920308
ETH/USDT,2024-06-02 11:15:00,2024-06-02 12:00:00,Long,3786.1121099999996,3800.888605,0.018989121494874396,AI_Flip_Bear,0.05997265263760451,0.05997265263760451,0.0,10.059972652637605,0.0018911615018566419
BTC/USDT,2024-06-02 11:15:00,2024-06-02 12:00:00,Long,67696.53134999999,68156.20485000001,0.04783417367809038,AI_Flip_Bear,0.1078068263156949,0.1078068263156949,0.0,10.107806826315695,0.004754900965416642
ETH/USDT,2024-06-02 12:15:00,2024-06-03 01:00:00,Short,3796.101,3791.3247149999997,-0.0074305011510484836,AI_Flip_Bull,0.10037632516464641,0.1078068263156949,-0.007430501151048485,10.100376325164646,-0.0007351249661502468
BTC/USDT,2024-06-02 12:15:00,2024-06-03 01:00:00,Short,68095.935,68218.09199999999,-0.03792101731182514,AI_Flip_Bull,0.06245530785282127,0.1078068263156949,-0.04535151846287363,10.06245530785282,-0.003754416280247641
ETH/USDT,2024-06-03 01:15:00,2024-06-03 13:00:00,Long,3799.4988,3833.972055,0.07064032799536701,AI_Flip_Bear,0.1330956358481883,0.1330956358481883,0.0,10.13309563584819,0.0070201879992690674
BTC/USDT,2024-06-03 01:15:00,2024-06-03 14:00:00,Long,68297.1315,70065.5497,0.23867115397079305,AI_Flip_Bear,0.37176678981898137,0.37176678981898137,0.0,10.371766789818981,0.023553626902171665
ETH/USDT,2024-06-03 13:15:00,2024-06-03 15:00:00,Short,3836.2709050000003,3784.9915499999997,0.11353612639355712,AI_Flip_Bull,0.4853029162125385,0.4853029162125385,0.0,10.485302916212538,0.010946652455105843
BTC/USDT,2024-06-03 14:15:00,2024-06-03 15:00:00,Short,69821.072,69223.69455,0.06547277425789165,AI_Flip_Bull,0.5507756904704302,0.5507756904704302,0.0,10.55077569047043,0.006244242515555554
ETH/USDT,2024-06-03 15:15:00,2024-06-04 08:00:00,Long,3788.27319,3776.420845,-0.0512556462038045,AI_Flip_Bear,0.49952004426662566,0.5507756904704302,-0.05125564620380452,10.499520044266626,-0.004857997905319822
ETH/USDT,2024-06-04 08:15:00,2024-06-04 10:00:00,Short,3775.761175,3757.29771,0.028851081093602984,AI_Flip_Bull,0.5283711253602287,0.5507756904704302,-0.022404565110201502,10.528371125360229,0.0027478476132207774
ETH/USDT,2024-06-04 10:15:00,2024-06-05 13:00:00,Long,3761.449785,3813.7421750000003,0.11888287919813484,AI_Flip_Bear,0.6472540045583635,0.6472540045583635,0.0,10.647254004558363,0.011291668747483108
BTC/USDT,2024-06-03 15:15:00,2024-06-05 13:00:00,Long,69208.68705000001,71026.36905,0.24237520106227559,AI_Flip_Bear,0.8896292056206391,0.8896292056206391,0.0,10.88962920562064,0.02276410433699705
BTC/USDT,2024-06-05 13:15:00,2024-06-05 14:00:00,Short,71130.21710000001,70535.25,0.06356113015434742,AI_Flip_Bull,0.9531903357749865,0.9531903357749865,0.0,10.953190335774986,0.005836849809499389
ETH/USDT,2024-06-05 13:15:00,2024-06-05 15:00:00,Short,3814.9315800000004,3805.16163,0.005584154906391102,AI_Flip_Bull,0.9587744906813775,0.9587744906813775,0.0,10.958774490681378,0.0005098199460802366
ETH/USDT,2024-06-05 15:15:00,2024-06-06 12:15:00,Long,3820.6293599999995,3860.80863,0.0850588448862272,AI_Flip_Bear,1.0438333355676048,1.0438333355676048,0.0,11.043833335567605,0.007761711399258742
BTC/USDT,2024-06-05 14:15:00,2024-06-06 13:30:00,Long,70815.1899,71511.72625,0.078261377909545,AI_Flip_Bear,1.1220947134771497,1.1220947134771497,0.0,11.12209471347715,0.0070864323583639255
ETH/USDT,2024-06-06 12:30:00,2024-06-06 14:00:00,Short,3850.074,3841.7299049999997,0.0016508849050703399,AI_Flip_Bull,1.12374559838222,1.12374559838222,0.0,11.12374559838222,0.00014843291192878638
BTC/USDT,2024-06-06 13:45:00,2024-06-06 14:00:00,Short,71127.91825,71259.612,-0.0384965424951111,AI_Flip_Bull,1.0852490558871088,1.12374559838222,-0.03849654249511114,11.08524905588711,-0.003460753588315546
ETH/USDT,2024-06-06 14:15:00,2024-06-06 16:00:00,Long,3844.82145,3847.545265,-0.012922711183375535,AI_Flip_Bear,1.0723263447037332,1.12374559838222,-0.051419253678486765,11.072326344703733,-0.001165757405920731
BTC/USDT,2024-06-06 14:15:00,2024-06-06 19:00:00,Long,71270.2173,70899.5325,-0.07195916740947031,AI_Flip_Bear,1.0003671772942628,1.12374559838222,-0.12337842108795716,11.000367177294263,-0.006499010701928043
BTC/USDT,2024-06-06 19:15:00,2024-06-06 20:00:00,Short,70946.80885,70488.0264,0.04460102645617425,AI_Flip_Bull,1.044968203750437,1.12374559838222,-0.0787773946317829,11.044968203750438,0.004054503430416023
ETH/USDT,2024-06-06 16:15:00,2024-06-06 20:00:00,Short,3849.2744000000002,3784.701405,0.14758592737633994,AI_Flip_Bull,1.192554131126777,1.192554131126777,0.0,11.192554131126776,0.013362277251846244
