Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Reason,Duration,equity,returns
BTCUSDT:USDT,Short,2024-04-11 04:30:00,2024-04-12 04:30:00,70444.7282,71196.609,-0.3498801124198252,Trailing_Stop,1 days 00:00:00,999.6501198875802,0.0
BTCUSDT:USDT,Short,2024-04-12 04:30:00,2024-04-12 16:30:00,70912.391,68911.8486,0.8152122641241348,TP_Hit,0 days 12:00:00,1000.4653321517043,0.0008154975905128037
BTCUSDT:USDT,Short,2024-04-12 16:30:00,2024-04-12 18:30:00,68636.75140000001,66692.0178,0.8195423792608167,TP_Hit,0 days 02:00:00,1001.2848745309651,0.0008191611972183654
BTCUSDT:USDT,Short,2024-04-12 18:30:00,2024-04-13 04:15:00,66425.78219999999,67548.52739999999,-0.5372498556387129,Trailing_Stop,0 days 09:45:00,1000.7476246753264,-0.0005365604427914894
BTCUSDT:USDT,Short,2024-04-13 04:15:00,2024-04-13 19:45:00,67278.8726,64908.6582,1.0266010041888833,TP_Hit,0 days 15:30:00,1001.7742256795153,0.0010258340653288567
BTCUSDT:USDT,Short,2024-04-13 19:45:00,2024-04-13 20:00:00,64649.5418,62688.2262,0.8807795029458738,TP_Hit,0 days 00:15:00,1002.6550051824612,0.0008792195690086047
BTCUSDT:USDT,Short,2024-04-13 20:00:00,2024-04-13 22:30:00,62437.9738,64680.8034,-1.1094879348076425,Trailing_Stop,0 days 02:30:00,1001.5455172476535,-0.0011065500387202887
BTCUSDT:USDT,Short,2024-04-13 22:30:00,2024-04-14 03:00:00,64422.5966,62311.5744,0.9535388892869641,TP_Hit,0 days 04:30:00,1002.4990561369405,0.0009520674526179995
BTCUSDT:USDT,Short,2024-04-14 03:00:00,2024-04-14 03:30:00,62062.8256,63518.784,-0.7349110683762063,Trailing_Stop,0 days 00:30:00,1001.7641450685643,-0.0007330790626457473
BTCUSDT:USDT,Short,2024-04-14 03:30:00,2024-04-14 05:00:00,63265.216,64500.6438,-0.6163322788335499,SL_Hit,0 days 01:30:00,1001.1478127897308,-0.0006152468940594513
BTCUSDT:USDT,Short,2024-04-14 05:00:00,2024-04-14 18:30:00,64243.156200000005,64604.7516,-0.19891550504052447,Trailing_Stop,0 days 13:30:00,1000.9488972846902,-0.00019868744904538715
BTCUSDT:USDT,Short,2024-04-14 18:30:00,2024-04-14 22:00:00,64346.8484,65038.818,-0.35262402477640364,Trailing_Stop,0 days 03:30:00,1000.5962732599138,-0.0003522897380006107
BTCUSDT:USDT,Short,2024-04-14 22:00:00,2024-04-15 06:15:00,64779.182,66441.5178,-0.7995538539561267,Trailing_Stop,0 days 08:15:00,999.7967194059577,-0.0007990773854785749
BTCUSDT:USDT,Short,2024-04-15 06:15:00,2024-04-15 16:15:00,66176.28219999999,64235.5146,0.848764760322414,TP_Hit,0 days 10:00:00,1000.6454841662801,0.0008489373328077754
BTCUSDT:USDT,Short,2024-04-15 16:15:00,2024-04-16 04:30:00,63979.0854,62164.180199999995,0.8206933040921847,TP_Hit,0 days 12:15:00,1001.4661774703723,0.0008201639012801465
BTCUSDT:USDT,Short,2024-04-16 04:30:00,2024-04-16 06:15:00,61916.0198,63039.226800000004,-0.5745213131337863,SL_Hit,0 days 01:45:00,1000.8916561572385,-0.000573680196155002
BTCUSDT:USDT,Short,2024-04-16 06:15:00,2024-04-16 12:15:00,62787.5732,63266.9814,-0.2590637105873981,Trailing_Stop,0 days 06:00:00,1000.6325924466511,-0.0002588329206200113
BTCUSDT:USDT,Long,2024-04-16 13:00:00,2024-04-16 14:45:00,63069.9882,61940.7702,-0.566947444699597,SL_Hit,0 days 01:45:00,1000.0656450019515,-0.000566589024762254
BTCUSDT:USDT,Long,2024-04-16 16:00:00,2024-04-16 21:30:00,62024.802,63822.0002,0.8384500706430345,TP_Hit,0 days 05:30:00,1000.9040950725945,0.0008383950341994684
BTCUSDT:USDT,Short,2024-04-16 21:30:00,2024-04-17 14:15:00,63822.0002,61587.0282,1.0204361786154976,TP_Hit,0 days 16:45:00,1001.92453125121,0.0010195144406333068
BTCUSDT:USDT,Short,2024-04-17 14:15:00,2024-04-17 18:00:00,61341.1718,61745.3442,-0.22790786512545225,Trailing_Stop,0 days 03:45:00,1001.6966233860845,-0.00022747009182511047
BTCUSDT:USDT,Short,2024-04-17 18:00:00,2024-04-18 11:00:00,61498.8558,62499.6498,-0.5185914408824708,Trailing_Stop,0 days 17:00:00,1001.1780319452021,-0.0005177130767691773
BTCUSDT:USDT,Long,2024-04-18 11:00:00,2024-04-18 18:00:00,62499.6498,62234.381799999996,-0.15738721310462012,Trailing_Stop,0 days 07:00:00,1001.0206447320975,-0.00015720202409830186
BTCUSDT:USDT,Short,2024-04-18 18:00:00,2024-04-18 19:15:00,62234.381799999996,63344.736600000004,-0.5652861602106647,SL_Hit,0 days 01:15:00,1000.4553585718868,-0.0005647097921361866
BTCUSDT:USDT,Short,2024-04-18 19:15:00,2024-04-19 01:30:00,63091.8634,61139.1342,0.8979973386395521,TP_Hit,0 days 06:15:00,1001.3533559105264,0.0008975886139701572
BTCUSDT:USDT,Short,2024-04-19 01:30:00,2024-04-19 02:45:00,60895.0658,61456.7682,-0.30686111805315974,Trailing_Stop,0 days 01:15:00,1001.0464947924733,-0.0003064463870239287
BTCUSDT:USDT,Long,2024-04-19 02:45:00,2024-04-19 06:30:00,61456.7682,63491.762,0.9633919562090405,TP_Hit,0 days 03:45:00,1002.0098867486822,0.0009623848255007061
BTCUSDT:USDT,Long,2024-04-19 06:30:00,2024-04-19 14:15:00,63746.238,63872.0,0.029184965499080562,Trailing_Stop,0 days 07:45:00,1002.0390717141813,2.912642468411164e-05
BTCUSDT:USDT,Short,2024-04-19 15:45:00,2024-04-20 15:45:00,64288.86459999999,64900.542,-0.3157926436466312,Trailing_Stop,1 days 00:00:00,1001.7232790705347,-0.0003151500301344923
BTCUSDT:USDT,Short,2024-04-20 15:45:00,2024-04-22 03:30:00,64641.458,65792.5224,-0.5646443543039332,SL_Hit,1 days 11:45:00,1001.1586347162307,-0.0005636729884402891
BTCUSDT:USDT,Short,2024-04-22 03:45:00,2024-04-22 17:15:00,65546.2448,66846.1254,-0.6250735613726874,SL_Hit,0 days 13:30:00,1000.533561154858,-0.0006243501675934349
BTCUSDT:USDT,Short,2024-04-22 17:15:00,2024-04-24 15:30:00,66579.27459999999,64681.0038,0.8249276845690083,TP_Hit,1 days 22:15:00,1001.3584888394271,0.0008244877699223885
BTCUSDT:USDT,Short,2024-04-24 15:30:00,2024-04-25 16:45:00,64422.796200000004,64530.4032,-0.08016839708764678,Trailing_Stop,1 days 01:15:00,1001.2783204423395,-8.005963696433582e-05
BTCUSDT:USDT,Short,2024-04-25 16:45:00,2024-04-28 02:45:00,64272.7968,64047.2388,0.07527237294747735,Trailing_Stop,2 days 10:00:00,1001.3535928152869,7.517627358022416e-05
BTCUSDT:USDT,Short,2024-04-28 02:45:00,2024-04-29 22:15:00,63791.561200000004,63608.964,0.05586175036119556,Trailing_Stop,1 days 19:30:00,1001.4094545656482,5.578623850954756e-05
BTCUSDT:USDT,Short,2024-04-29 22:15:00,2024-04-30 00:45:00,63355.036,64695.031800000004,-0.664818615577687,SL_Hit,0 days 02:30:00,1000.7446359500705,-0.0006638829027892923
BTCUSDT:USDT,Short,2024-04-30 00:45:00,2024-04-30 08:30:00,64436.7682,62309.1696,0.960275791757212,TP_Hit,0 days 07:45:00,1001.7049117418277,0.0009595612679407228
BTCUSDT:USDT,Short,2024-04-30 08:30:00,2024-04-30 17:30:00,62060.430400000005,60295.5504,0.8236914375542881,TP_Hit,0 days 09:00:00,1002.5286031793819,0.0008222895065193025
BTCUSDT:USDT,Long,2024-04-30 17:30:00,2024-04-30 19:45:00,60295.5504,59157.6476,-0.5971024381529091,SL_Hit,0 days 02:15:00,1001.931500741229,-0.0005955964111740153
BTCUSDT:USDT,Short,2024-04-30 19:45:00,2024-04-30 21:00:00,59157.6476,60228.216,-0.5734687858487497,SL_Hit,0 days 01:15:00,1001.3580319553803,-0.0005723632657765876
BTCUSDT:USDT,Short,2024-04-30 21:00:00,2024-05-01 07:15:00,59987.784,58089.8478,0.9194591493944415,TP_Hit,0 days 10:15:00,1002.2774911047748,0.000918212187901446
BTCUSDT:USDT,Short,2024-05-01 07:15:00,2024-05-01 12:00:00,57857.9522,58301.670600000005,-0.2604347059395913,Trailing_Stop,0 days 04:45:00,1002.0170563988352,-0.00025984291600977816
BTCUSDT:USDT,Long,2024-05-01 14:15:00,2024-05-01 19:30:00,57529.228800000004,57381.207599999994,-0.10732807659708854,Trailing_Stop,0 days 05:15:00,1001.909728322238,-0.000107112025600542
BTCUSDT:USDT,Short,2024-05-01 19:30:00,2024-05-01 21:15:00,57381.207599999994,58260.288,-0.4900746820375339,Trailing_Stop,0 days 01:45:00,1001.4196536402005,-0.0004891405564633189
BTCUSDT:USDT,Short,2024-05-01 21:15:00,2024-05-02 11:15:00,58027.712,58396.8606,-0.2209701539205149,Trailing_Stop,0 days 14:00:00,1001.19868348628,-0.00022065689755268458
BTCUSDT:USDT,Short,2024-05-02 11:15:00,2024-05-02 14:30:00,58163.739400000006,59346.456,-0.6401842319658826,SL_Hit,0 days 03:15:00,1000.5584992543141,-0.0006394177724411421
BTCUSDT:USDT,Short,2024-05-02 14:30:00,2024-05-03 12:30:00,59109.544,60544.848,-0.7581578030277569,Trailing_Stop,0 days 22:00:00,999.8003414512864,-0.0007577346088137871
BTCUSDT:USDT,Long,2024-05-03 12:30:00,2024-05-03 20:15:00,60544.848,62609.7296,0.9919285451195918,TP_Hit,0 days 07:45:00,1000.7922699964059,0.0009921266316830213
