Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,Size_USD,PnL_USD,Reason,Raw_Ret,equity,returns
ETHUSDT:USDT,2024-04-10 23:45:00,2024-04-11 00:00:00,Long,3554.73528,3528.93798,25.0,-0.2062476926551895,Hybrid_Flip_Bear,-0.007257164871078592,999.7937523073448,0.0
ETHUSDT:USDT,2024-04-11 00:00:00,2024-04-11 02:00:00,Short,3528.93798,3550.6571400000003,24.99155149501386,-0.17865044636255334,Hybrid_Flip_Bull,-0.006154588185763497,999.6151018609822,-0.0001786873002059819
ETHUSDT:USDT,2024-04-11 02:00:00,2024-04-11 03:00:00,Long,3550.6571400000003,3554.54666,24.987786987527926,0.002357378405285715,Hybrid_Flip_Bear,0.0010954366604937022,999.6174592393876,2.3582861052862114e-06
ETHUSDT:USDT,2024-04-11 03:00:00,2024-04-11 08:00:00,Short,3554.54666,3599.41446,24.992374058938243,-0.34014690573719975,Hybrid_Flip_Bull,-0.012622650450732862,999.2773123336503,-0.0003402770755885909
ETHUSDT:USDT,2024-04-11 08:00:00,2024-04-11 09:00:00,Long,3599.41446,3593.0195599999997,24.97530892476935,-0.06930332122040284,Hybrid_Flip_Bear,-0.0017766500832472165,999.2080090124299,-6.935344209768601e-05
ETHUSDT:USDT,2024-04-11 09:00:00,2024-04-11 12:00:00,Short,3593.0195599999997,3542.3706,24.98033996061058,0.32680260753102885,Hybrid_Flip_Bull,0.014096488803973985,999.5348116199609,0.00032706163740026106
ETHUSDT:USDT,2024-04-11 12:00:00,2024-04-11 13:00:00,Long,3542.3706,3559.59654,24.998402619902603,0.09644297413572289,Hybrid_Flip_Bear,0.004862828299218554,999.6312545940967,9.64878591667162e-05
ETHUSDT:USDT,2024-04-11 13:00:00,2024-04-11 15:00:00,Short,3559.59654,3509.6052,24.9950789536534,0.32568734777120767,Hybrid_Flip_Bull,0.014044102874647708,999.9569419418679,0.00032580748778543445
ETHUSDT:USDT,2024-04-11 15:00:00,2024-04-11 15:30:00,Long,3509.6052,3496.992,25.008929127840418,-0.1147988525786019,Hybrid_Flip_Bear,-0.003593908511418828,999.8421430892893,-0.00011480379580708355
ETHUSDT:USDT,2024-04-11 15:30:00,2024-04-11 16:00:00,Short,3496.992,3520.3767,24.99505503151584,-0.19197209173394114,Hybrid_Flip_Bull,-0.006687089933291129,999.6501709975554,-0.000192002400639657
ETHUSDT:USDT,2024-04-11 16:00:00,2024-04-11 21:00:00,Long,3520.3767,3517.62066,24.988331269179895,-0.044531686294394746,Hybrid_Flip_Bear,-0.0007828821273586311,999.6056393112609,-4.454727022162874e-05
ETHUSDT:USDT,2024-04-11 21:00:00,2024-04-11 22:00:00,Short,3517.62066,3516.77952,24.990902850131103,-0.019021007513167376,Hybrid_Flip_Bull,0.0002391218614232257,999.5866183037477,-1.9028511610064136e-05
ETHUSDT:USDT,2024-04-11 22:00:00,2024-04-12 01:00:00,Long,3516.77952,3511.69254,24.99106160721716,-0.061104187500337304,Hybrid_Flip_Bear,-0.0014464881779111473,999.5255141162475,-6.112945729908059e-05
ETHUSDT:USDT,2024-04-12 01:00:00,2024-04-12 02:00:00,Short,3511.69254,3532.05,24.9884843671358,-0.1697031378013527,Hybrid_Flip_Bull,-0.0057970507862286184,999.3558109784461,-0.0001697836977692102
ETHUSDT:USDT,2024-04-12 02:00:00,2024-04-12 03:45:00,Long,3532.05,3528.928,24.981527945513726,-0.04704076773986898,Hybrid_Flip_Bear,-0.00088390594697139,999.3087702107063,-4.707109041957036e-05
ETHUSDT:USDT,2024-04-12 03:45:00,2024-04-12 16:00:00,Short,3528.928,3436.9301400000004,24.983417695517545,0.6256738194343576,Hybrid_Flip_Bull,0.026069633611113488,999.9344440301406,0.0006261066029695783
ETHUSDT:USDT,2024-04-12 16:00:00,2024-04-12 17:00:00,Long,3436.9301400000004,3412.78076,25.01585799149869,-0.20061248597593462,Hybrid_Flip_Bear,-0.007026439006991364,999.7338315441647,-0.0002006256381842375
ETHUSDT:USDT,2024-04-12 17:00:00,2024-04-12 17:30:00,Short,3412.78076,3347.99262,24.990195971860587,0.44894861249033013,Hybrid_Flip_Bull,0.01898397364382707,1000.182780156655,0.0004490681402637975
