Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Reason,Duration,equity,returns
ETHUSDT:USDT,Short,2025-02-03 01:00:00,2025-02-03 01:45:00,2807.19436,2500.992,3.2390592642826377,TP_Hit,0 days 00:45:00,1003.2390592642827,0.0
ETHUSDT:USDT,Short,2025-02-03 01:45:00,2025-02-03 03:00:00,2491.008,2511.1021800000003,-0.2726388292954596,Trailing_Stop,0 days 01:15:00,1002.9664204349872,-0.00027175858712624734
ETHUSDT:USDT,Long,2025-03-02 16:30:00,2025-03-02 16:45:00,2491.43292,2436.79664,-0.6892705670056642,Trailing_Stop,0 days 00:15:00,1002.2771498679815,-0.0006872319481112665
