Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Cum_PnL,HWM,Drawdown_USD,equity,returns
BTC/USDT,2024-06-12 12:45:00,2024-06-12 18:00:00,Long,69374.77005,69145.8098,-5.297038528346137,AI_Flip_Bear,523.5020580299413,555.1498412662414,-31.647783236300143,1523.5020580299413,-0.0034648362497538
ETH/USDT,2024-06-12 13:15:00,2024-06-12 18:00:00,Long,3612.195195,3583.6372850000002,-9.898064902331376,AI_Flip_Bear,513.6039931276099,555.1498412662414,-41.54584813863153,1513.60399312761,-0.006496916003599362
ETH/USDT,2024-06-12 18:15:00,2024-06-12 20:00:00,Short,3590.2339850000003,3548.583405,9.58947567034421,AI_Flip_Bull,523.1934687979541,555.1498412662414,-31.956372468287327,1523.1934687979542,0.0063355248227967564
BTC/USDT,2024-06-12 18:15:00,2024-06-12 20:00:00,Short,69165.40000000001,67810.2882,17.572744294112564,AI_Flip_Bull,540.7662130920667,555.1498412662414,-14.38362817417476,1540.7662130920667,0.011536777601850012
BTC/USDT,2024-06-12 20:30:00,2024-06-13 03:30:00,Short,68248.15885,67279.4229,12.180121930864395,AI_Flip_Bull,552.9463350229311,555.1498412662414,-2.2035062433103576,1552.9463350229312,0.007905236905747737
ETH/USDT,2024-06-12 20:15:00,2024-06-13 04:15:00,Long,3549.8540399999997,3514.242,-12.021941059863838,AI_Flip_Bear,540.9243939630672,555.1498412662414,-14.225447303174178,1540.9243939630674,-0.007741375724800159
ETH/USDT,2024-06-13 04:30:00,2024-06-13 09:30:00,Short,3511.1835300000002,3477.1677149999996,7.678160909179435,AI_Flip_Bull,548.6025548722466,555.1498412662414,-6.547286393994796,1548.6025548722466,0.0049828278008059446
BNB/USDT,2024-06-12 09:00:00,2024-06-13 09:30:00,Long,615.7177049999999,602.9583700000001,-22.70198008192708,SL_Hit,525.9005747903195,555.1498412662414,-29.2492664759219,1525.9005747903195,-0.014659655578186714
BTC/USDT,2024-06-13 03:45:00,2024-06-13 13:15:00,Long,67504.83555,67990.88755,5.193054305574055,AI_Flip_Bear,531.0936290958936,555.1498412662414,-24.056212170347862,1531.0936290958934,0.0034032717408782887
ETH/USDT,2024-06-13 09:45:00,2024-06-13 13:30:00,Long,3491.9651099999996,3512.5828300000003,3.8984272841147165,AI_Flip_Bear,534.9920563800083,555.1498412662414,-20.157784886233117,1534.9920563800083,0.0025461717102284176
ETH/USDT,2024-06-13 13:45:00,2024-06-13 14:15:00,Short,3497.280485,3481.76001,2.433431802654016,AI_Flip_Bull,537.4254881826623,555.1498412662414,-17.724353083579103,1537.4254881826623,0.001585305795257952
ETH/USDT,2024-06-13 14:30:00,2024-06-13 16:00:00,Short,3512.4429,3459.238755,13.132186449208941,AI_Flip_Bull,550.5576746318712,555.1498412662414,-4.592166634370187,1550.5576746318711,0.008541673434028896
BTC/USDT,2024-06-13 13:30:00,2024-06-13 16:00:00,Short,68054.85555,66741.45405,17.27986016421708,AI_Flip_Bull,567.8375347960883,567.8375347960883,0.0,1567.8375347960882,0.011144287276072973
XRP/USDT,2024-06-12 16:00:00,2024-06-13 23:00:00,Short,0.49705135000000006,0.4770384,38.22308167958921,TP_Hit,606.0606164756775,606.0606164756775,0.0,1606.0606164756775,0.024379491389431962
ETH/USDT,2024-06-13 16:15:00,2024-06-14 15:00:00,Long,3459.02865,3479.97914,4.050698513294973,AI_Flip_Bear,610.1113149889725,610.1113149889725,0.0,1610.1113149889725,0.002522133020224304
BTC/USDT,2024-06-13 16:15:00,2024-06-14 15:00:00,Long,66700.03335,66806.58,-0.4041971494755805,AI_Flip_Bear,609.7071178394968,610.1113149889725,-0.40419714947563534,1609.7071178394967,-0.0002510367734906982
BNB/USDT,2024-06-13 09:45:00,2024-06-14 16:15:00,Long,605.832765,592.7934550000001,-23.501429837654765,SL_Hit,586.2056880018421,610.1113149889725,-23.905626987130404,1586.2056880018422,-0.01459981730663995
ETH/USDT,2024-06-14 15:15:00,2024-06-14 19:00:00,Short,3486.066095,3378.44838,28.839948054685497,AI_Flip_Bull,615.0456360565275,615.0456360565275,0.0,1615.0456360565277,0.018181720235170395
BTC/USDT,2024-06-14 15:15:00,2024-06-14 21:00:00,Short,66879.24365,65749.95855,14.86854924382818,AI_Flip_Bull,629.9141853003557,629.9141853003557,0.0,1629.9141853003557,0.009206271892187923
ETH/USDT,2024-06-14 19:15:00,2024-06-15 06:00:00,Long,3404.3413199999995,3548.215005,40.219565491453274,TP_Hit,670.133750791809,670.133750791809,0.0,1670.133750791809,0.024675879168474024
ETH/USDT,2024-06-15 06:15:00,2024-06-15 12:15:00,Short,3537.97013,3545.7419849999997,-4.1945021748952716,AI_Flip_Bull,665.9392486169137,670.133750791809,-4.1945021748953195,1665.9392486169136,-0.0025114768041223368
XRP/USDT,2024-06-14 06:00:00,2024-06-15 19:15:00,Short,0.48045965,0.4969483499999999,-36.28427610934635,SL_Hit,629.6549725075673,670.133750791809,-40.478778284241685,1629.6549725075674,-0.021780071595929984
ETH/USDT,2024-06-15 12:30:00,2024-06-16 11:00:00,Long,3540.70947,3563.91715,4.547973652297554,AI_Flip_Bear,634.2029461598648,670.133750791809,-35.93080463194417,1634.202946159865,0.0027907586139535034
BTC/USDT,2024-06-14 21:15:00,2024-06-16 11:00:00,Long,66145.15605,66620.57304999999,5.180292728328769,AI_Flip_Bear,639.3832388881937,670.133750791809,-30.750511903615347,1639.3832388881938,0.003169920076635302
ETH/USDT,2024-06-16 11:15:00,2024-06-16 13:00:00,Short,3556.38092,3566.5023599999995,-4.84314835431055,AI_Flip_Bull,634.5400905338831,670.133750791809,-35.593660257925876,1634.5400905338831,-0.002954250256697266
ETH/USDT,2024-06-16 13:15:00,2024-06-16 14:00:00,Long,3586.802505,3604.91664,3.0451679008738184,AI_Flip_Bear,637.585258434757,670.133750791809,-32.548492357052055,1637.585258434757,0.0018630120597893374
ETH/USDT,2024-06-16 14:15:00,2024-06-16 15:00:00,Short,3585.42639,3584.3913,-1.7115949966552488,AI_Flip_Bull,635.8736634381017,670.133750791809,-34.26008735370726,1635.8736634381016,-0.001045194433596297
BTC/USDT,2024-06-16 11:15:00,2024-06-17 04:00:00,Short,66507.82945,66259.81335,1.7253972344155035,AI_Flip_Bull,637.5990606725172,670.133750791809,-32.53469011929178,1637.5990606725172,0.0010547252351928993
ETH/USDT,2024-06-16 15:15:00,2024-06-17 05:00:00,Long,3587.51286,3590.014095,-1.3034913427459665,AI_Flip_Bear,636.2955693297713,670.133750791809,-33.83818146203771,1636.2955693297713,-0.0007959770947906231
ETH/USDT,2024-06-17 05:15:00,2024-06-17 07:00:00,Short,3590.4338850000004,3543.781005,10.9806671318223,AI_Flip_Bull,647.2762364615936,670.133750791809,-22.857514330215395,1647.2762364615937,0.006710686832892998
BTC/USDT,2024-06-17 04:15:00,2024-06-17 09:00:00,Long,66364.46565,66053.9565,-6.674167686152356,AI_Flip_Bear,640.6020687754412,670.133750791809,-29.531682016367768,1640.6020687754412,-0.004051638418878012
BTC/USDT,2024-06-17 09:15:00,2024-06-17 10:00:00,Short,66157.5047,65796.882,3.4455209417837542,AI_Flip_Bull,644.047589717225,670.133750791809,-26.08616107458397,1644.047589717225,0.0021001564043836574
ETH/USDT,2024-06-17 07:15:00,2024-06-17 10:00:00,Short,3561.608305,3506.942595,13.333253859873906,AI_Flip_Bull,657.380843577099,670.133750791809,-12.752907214710035,1657.3808435770989,0.008110016974731904
ETH/USDT,2024-06-17 10:15:00,2024-06-17 13:00:00,Long,3497.257755,3532.61281,8.099255593758771,AI_Flip_Bear,665.4800991708578,670.133750791809,-4.653651620951223,1665.4800991708578,0.004886780021107429
BTC/USDT,2024-06-17 10:15:00,2024-06-17 13:00:00,Long,65596.9821,65663.65175,-0.9846639552948167,AI_Flip_Bear,664.495435215563,670.133750791809,-5.6383155762459864,1664.495435215563,-0.0005912192861295962
BTC/USDT,2024-06-17 13:15:00,2024-06-17 14:00:00,Short,65657.45485000001,65362.865099999995,2.4822809675208366,AI_Flip_Bull,666.9777161830839,670.133750791809,-3.156034608725122,1666.9777161830839,0.001491311369802295
ETH/USDT,2024-06-17 13:15:00,2024-06-17 14:00:00,Short,3528.97463,3508.663455,3.749790223059857,AI_Flip_Bull,670.7275064061438,670.7275064061438,0.0,1670.7275064061437,0.0022494543188289473
XRP/USDT,2024-06-16 09:00:00,2024-06-17 14:15:00,Long,0.48994485,0.51684145,52.842301944800624,TP_Hit,723.5698083509444,723.5698083509444,0.0,1723.5698083509444,0.031628318646927944
ETH/USDT,2024-06-17 14:15:00,2024-06-17 15:00:00,Long,3521.069655,3527.8352,-0.08047550397005598,AI_Flip_Bear,723.4893328469743,723.5698083509444,-0.08047550397009218,1723.4893328469743,-4.669117756661567e-05
ETH/USDT,2024-06-17 15:15:00,2024-06-17 16:00:00,Short,3508.634805,3506.042145,-1.2618019588960188,AI_Flip_Bull,722.2275308880783,723.5698083509444,-1.34227746286615,1722.2275308880783,-0.0007321205503556527
