Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Size_USD,Reason,Leverage,Duration,equity,returns
ZILUSDT:USDT,Short,2024-06-18 01:00:00,2024-06-18 01:45:00,0.01747498,0.01624242,17.365577242434618,250.0,Trailing_Win,5,0 days 00:45:00,1017.3655772424346,0.0
ZILUSDT:USDT,Short,2024-07-05 02:00:00,2024-07-05 03:15:00,0.014381179999999999,0.01361718,13.240775487739507,254.27889431060865,Trailing_Win,5,0 days 01:15:00,1030.6063527301742,0.01301476655385625
FILUSDT:USDT,Short,2024-07-08 00:15:00,2024-07-08 02:15:00,3.634716,3.599184,2.2574567594307138,257.5255184589659,Trailing_Win,5,0 days 02:00:00,1032.8638094896048,0.002190416111302218
FILUSDT:USDT,Long,2024-07-08 08:00:00,2024-07-08 10:45:00,3.7595039999999997,3.8333180000000002,4.802974156221467,258.02550126920886,Trailing_Win,5,0 days 02:45:00,1037.6667836458264,0.004650152432579713
FILUSDT:USDT,Short,2024-08-02 14:15:00,2024-08-02 15:30:00,4.104774000000001,3.961908,8.751900873549728,259.1617384329469,Trailing_Win,5,0 days 01:15:00,1046.418684519376,0.008434211262694502
FILUSDT:USDT,Short,2024-08-05 00:00:00,2024-08-05 01:30:00,3.493,3.235458,18.984220331116788,261.2849232167261,Trailing_Win,5,0 days 01:30:00,1065.4029048504929,0.01814208845079679
ZILUSDT:USDT,Short,2024-08-05 01:30:00,2024-08-05 04:00:00,0.012135680000000001,0.012044039999999999,1.740408911225995,265.9656570687011,Trailing_Win,5,0 days 02:30:00,1067.143313761719,0.0016335687684936318
FILUSDT:USDT,Short,2024-08-07 14:00:00,2024-08-07 20:15:00,3.4500859999999998,3.419826,2.067293262321473,266.3342678822404,Trailing_Win,5,0 days 06:15:00,1069.2106070240402,0.001937221772991382
FILUSDT:USDT,Short,2024-09-06 20:00:00,2024-09-07 00:30:00,3.24849,3.304596,-4.869921156828295,266.78450763085027,SL_Hit,5,0 days 04:30:00,1064.340685867212,-0.0045546884073501825
FILUSDT:USDT,Short,2024-10-15 14:00:00,2024-10-15 22:15:00,3.878228,3.76251,7.648537770768774,265.5003312147354,Trailing_Win,5,0 days 08:15:00,1071.9892236379808,0.007186174382253219
FILUSDT:USDT,Short,2024-11-03 02:00:00,2024-11-03 19:30:00,3.38821,3.328644,4.427998204476989,267.34609057462393,Trailing_Win,5,0 days 17:30:00,1076.4172218424578,0.004130636863540316
FILUSDT:USDT,Short,2024-11-04 21:00:00,2024-11-04 23:00:00,3.291404,3.2785439999999997,0.7791897273808845,268.38625360309953,Trailing_Win,5,0 days 02:00:00,1077.1964115698386,0.0007238733379302253
ZILUSDT:USDT,Long,2024-11-11 18:00:00,2024-11-11 18:45:00,0.016533,0.01803386,24.082714005030862,268.51395447154397,Trailing_Win,5,0 days 00:45:00,1101.2791255748696,0.02235684573989105
HBARUSDT:USDT,Short,2024-11-12 09:00:00,2024-11-12 11:15:00,0.05932112,0.05594166,15.346013038557079,274.4675044841838,Trailing_Win,5,0 days 02:15:00,1116.6251386134265,0.013934717077785708
FILUSDT:USDT,Short,2024-11-12 09:15:00,2024-11-12 11:15:00,4.54589,4.31361,13.753942574605883,274.8281629667553,Trailing_Win,5,0 days 02:00:00,1130.3790811880324,0.012317421575950505
FILUSDT:USDT,Short,2024-11-13 03:00:00,2024-11-13 07:00:00,4.117748000000001,3.966918,10.023064568342692,281.6051694706118,Trailing_Win,5,0 days 04:00:00,1140.4021457563751,0.008866994033371878
FILUSDT:USDT,Short,2024-11-13 19:00:00,2024-11-13 23:30:00,4.142698,4.090164,3.3143061577519317,284.04053432032987,Trailing_Win,5,0 days 04:30:00,1143.716451914127,0.002906260892339585
FILUSDT:USDT,Short,2024-11-14 14:00:00,2024-11-14 16:45:00,4.00697,3.96291,2.8436645814695445,284.7981007261877,Trailing_Win,5,0 days 02:45:00,1146.5601164955967,0.00248633704333856
ZILUSDT:USDT,Long,2024-11-15 17:00:00,2024-11-15 18:00:00,0.01711416,0.01744504,5.227612156392573,285.43781734637355,Trailing_Win,5,0 days 01:00:00,1151.7877286519893,0.004559387755759703
FILUSDT:USDT,Short,2024-11-17 01:00:00,2024-11-17 02:30:00,4.758464,4.587156,10.023445760339182,286.6733609311351,Trailing_Win,5,0 days 01:30:00,1161.8111744123285,0.008702511331728058
HBARUSDT:USDT,Short,2024-11-20 08:00:00,2024-11-20 10:30:00,0.1259975,0.12526002,1.4013849391361726,289.1075540309871,Trailing_Win,5,0 days 02:30:00,1163.2125593514645,0.0012062071445000377
HBARUSDT:USDT,Short,2024-11-23 02:00:00,2024-11-23 03:00:00,0.165668,0.15224388,23.136155743432873,289.3856233772634,Trailing_Win,5,0 days 01:00:00,1186.3487150948974,0.01988987787093044
FILUSDT:USDT,Long,2024-11-23 17:15:00,2024-11-23 18:30:00,5.4318420000000005,5.462054,1.3445977687587305,295.0973159072773,Trailing_Win,5,0 days 01:15:00,1187.693312863656,0.0011333916846287817
FILUSDT:USDT,Long,2024-11-24 00:00:00,2024-11-24 01:00:00,5.417814,5.572832,8.147211891177008,295.3596910204902,Trailing_Win,5,0 days 01:00:00,1195.840524754833,0.006859693325655947
FILUSDT:USDT,Long,2024-11-24 02:00:00,2024-11-24 04:30:00,5.695368,5.870235999999999,8.82240861775125,297.3226540705293,Trailing_Win,5,0 days 02:30:00,1204.6629333725843,0.007377579564432413
FILUSDT:USDT,Short,2024-11-24 12:00:00,2024-11-24 12:45:00,5.57383,5.347674,11.838623247098289,299.45392556144947,Trailing_Win,5,0 days 00:45:00,1216.5015566196828,0.009827332541854528
FILUSDT:USDT,Short,2024-11-25 14:00:00,2024-11-25 15:30:00,5.677622,5.620218,2.7514215201269985,302.33871789183365,Trailing_Win,5,0 days 01:30:00,1219.2529781398098,0.002261749280265901
FILUSDT:USDT,Long,2024-11-30 18:00:00,2024-11-30 22:15:00,6.760494,7.153664,17.298148715761496,302.9509885923925,Trailing_Win,5,0 days 04:15:00,1236.5511268555713,0.014187497611982902
