Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Raw_Ret,Cum_PnL,HWM,Drawdown_USD
ETHUSDT,1712934900000,1712935800000,Short,3457.63032,3448.80354,0.5502880307922351,Hybrid_Flip_Bull,0.002552840871663899,132.93335760637834,132.93335760637834,0.0
ETHUSDT,1712936700000,1712941200000,Long,3444.14121,3417.91019,-9.60851178340615,Hybrid_Flip_Bear,-0.007616127911317469,123.32484582297218,132.93335760637834,-9.608511783406158
ETHUSDT,1712942100000,1712943000000,Long,3319.8590999999997,3339.639345,3.9521998252878805,Hybrid_Flip_Bear,0.0059581579832711515,127.27704564826006,132.93335760637834,-5.65631195811828
ETHUSDT,1712943900000,1712948400000,Short,3325.226555,3223.280835,28.627619681089715,Hybrid_Flip_Bull,0.030658277959048765,155.90466532934977,155.90466532934977,0.0
ETHUSDT,1712949300000,1712970000000,Long,3227.7530699999998,3215.481455,-5.798104476746623,Hybrid_Flip_Bear,-0.003801906383129753,150.10656085260314,155.90466532934977,-5.79810447674663
ETHUSDT,1712970900000,1712972700000,Short,3204.3570200000004,3163.16079,10.843460798260384,Hybrid_Flip_Bull,0.01285631711537576,160.95002165086353,160.95002165086353,0.0
ETHUSDT,1712973600000,1712985300000,Long,3188.663535,3259.34951,20.145732295019286,Hybrid_Flip_Bear,0.0221679001952145,181.09575394588282,181.09575394588282,0.0
ETHUSDT,1712986200000,1712996100000,Long,3255.94716,3263.7273200000004,0.3871332850500715,Hybrid_Flip_Bear,0.0023895228078579293,181.4828872309329,181.4828872309329,0.0
ETHUSDT,1712997000000,1712998800000,Short,3253.7723,3256.4474099999998,-2.821334329387363,Hybrid_Flip_Bull,-0.0008221564858732361,178.66155290154555,181.4828872309329,-2.821334329387355
ETHUSDT,1712999700000,1713000600000,Long,3260.7995849999998,3262.2880400000004,-1.5439871398902265,Hybrid_Flip_Bear,0.0004564693294392127,177.11756576165533,181.4828872309329,-4.365321469277575
ETHUSDT,1713001500000,1713003300000,Short,3265.40648,3263.9611649999997,-1.5578284988886313,Hybrid_Flip_Bull,0.0004426141152265955,175.5597372627667,181.4828872309329,-5.9231499681662
