Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Cum_PnL,HWM,Drawdown_USD,equity,returns
ETH/USDT,2024-06-05 12:00:00,2024-06-05 13:00:00,Long,3817.517805,3813.7421750000003,-2.988038448716453,AI_Flip_Bear,-2.988038448716453,-2.988038448716453,0.0,997.0119615512835,0.0
BTC/USDT,2024-06-05 12:00:00,2024-06-05 13:15:00,Long,70931.2479,71130.21710000001,0.8022942875647163,AI_Flip_Bear,-2.1857441611517365,-2.1857441611517365,0.0,997.8142558388482,0.0008046987583942844
BTC/USDT,2024-06-05 13:30:00,2024-06-05 14:00:00,Short,70834.9648,70535.25,2.226939140089776,AI_Flip_Bull,0.04119497893803947,0.04119497893803947,0.0,1000.041194978938,0.0022318173217696913
ETH/USDT,2024-06-05 13:15:00,2024-06-05 15:00:00,Short,3814.9315800000004,3805.16163,0.5584154906391099,AI_Flip_Bull,0.5996104695771494,0.5996104695771494,0.0,1000.5996104695771,0.0005583924876721991
ETH/USDT,2024-06-05 15:15:00,2024-06-06 12:15:00,Long,3820.6293599999995,3860.80863,8.50588448862272,AI_Flip_Bear,9.105494958199868,9.105494958199868,0.0,1009.1054949581999,0.008500787327541559
ETH/USDT,2024-06-06 12:30:00,2024-06-06 14:00:00,Short,3850.074,3841.7299049999997,0.165088490507034,AI_Flip_Bull,9.270583448706901,9.270583448706901,0.0,1009.2705834487069,0.00016359884207539643
ETH/USDT,2024-06-06 14:15:00,2024-06-06 16:00:00,Long,3844.82145,3847.545265,-1.2922711183375535,AI_Flip_Bear,7.978312330369348,9.270583448706901,-1.2922711183375535,1007.9783123303694,-0.001280401053523117
BTC/USDT,2024-06-05 14:15:00,2024-06-06 19:00:00,Long,70815.1899,70899.5325,-0.8101668933037263,AI_Flip_Bear,7.168145437065622,9.270583448706901,-2.1024380116412793,1007.1681454370656,-0.0008037542905369177
ETH/USDT,2024-06-06 16:15:00,2024-06-06 20:00:00,Short,3849.2744000000002,3784.701405,14.75859273763399,AI_Flip_Bull,21.92673817469961,21.92673817469961,0.0,1021.9267381746996,0.014653553931880392
ETH/USDT,2024-06-06 20:15:00,2024-06-07 12:00:00,Long,3794.9765399999997,3835.6312250000005,8.702050430857442,AI_Flip_Bear,30.628788605557055,30.628788605557055,0.0,1030.628788605557,0.00851533686886441
BTC/USDT,2024-06-06 19:15:00,2024-06-07 18:00:00,Short,70946.80885,68577.2715,31.3653881128721,AI_Flip_Bull,61.99417671842916,61.99417671842916,0.0,1061.9941767184291,0.030433254397356224
ETH/USDT,2024-06-07 12:15:00,2024-06-07 18:00:00,Short,3837.490295,3615.917055,55.681361969411874,TP_Hit,117.67553868784103,117.67553868784103,0.0,1117.675538687841,0.05243094848360452
BTC/USDT,2024-06-07 18:15:00,2024-06-07 18:30:00,Long,69115.5405,69233.46595000001,-0.2954987590669318,AI_Flip_Bear,117.3800399287741,117.67553868784103,-0.29549875906693046,1117.380039928774,-0.0002643868894312007
ETH/USDT,2024-06-07 18:15:00,2024-06-07 18:30:00,Long,3671.024595,3673.7322150000005,-1.2631723623740556,AI_Flip_Bear,116.11686756640005,117.67553868784103,-1.5586711214409803,1116.1168675664,-0.0011304769346466292
ETH/USDT,2024-06-07 18:45:00,2024-06-08 07:00:00,Short,3679.1694950000006,3693.956055,-6.014974971953433,AI_Flip_Bull,110.10189259444661,117.67553868784103,-7.573646093394416,1110.1018925944466,-0.00538919816261596
ETH/USDT,2024-06-08 07:15:00,2024-06-08 11:00:00,Long,3704.31123,3692.8826350000004,-5.08212936119825,AI_Flip_Bear,105.01976323324836,117.67553868784103,-12.655775454592671,1105.0197632332483,-0.004578074675037791
ETH/USDT,2024-06-08 11:15:00,2024-06-08 13:15:00,Short,3691.0135700000005,3674.946555,2.3486559126902735,AI_Flip_Bull,107.36841914593863,117.67553868784103,-10.307119541902395,1107.3684191459386,0.00212544244984203
ETH/USDT,2024-06-08 13:30:00,2024-06-09 02:00:00,Long,3687.0225899999996,3677.22047,-4.655887681989867,AI_Flip_Bear,102.71253146394876,117.67553868784103,-14.963007223892262,1102.7125314639488,-0.004204461317020902
ETH/USDT,2024-06-09 02:15:00,2024-06-09 03:00:00,Short,3674.5218200000004,3672.85551,-1.5469767845873015,AI_Flip_Bull,101.16555467936146,117.67553868784103,-16.509984008479563,1101.1655546793615,-0.0014028831091033034
ETH/USDT,2024-06-09 03:15:00,2024-06-09 10:00:00,Long,3674.1261449999997,3691.7831850000002,2.800973691119826,AI_Flip_Bear,103.96652837048129,117.67553868784103,-13.709010317359741,1103.9665283704812,0.002543644485806018
ETH/USDT,2024-06-09 10:15:00,2024-06-09 11:00:00,Short,3689.33441,3689.3637599999997,-2.007947409137085,AI_Flip_Bull,101.9585809613442,117.67553868784103,-15.71695772649683,1101.9585809613443,-0.0018188480878136293
BTC/USDT,2024-06-07 18:45:00,2024-06-09 12:00:00,Short,69151.90675000001,69435.70049999999,-6.099814011997326,AI_Flip_Bull,95.85876694934687,117.67553868784103,-21.816771738494154,1095.8587669493468,-0.005535429477463771
BTC/USDT,2024-06-09 12:15:00,2024-06-09 13:00:00,Long,69423.4944,69641.66175,1.1394153309863264,AI_Flip_Bear,96.9981822803332,117.67553868784103,-20.67735640750783,1096.9981822803331,0.0010397465123705985
ETH/USDT,2024-06-09 11:15:00,2024-06-09 13:00:00,Long,3692.40528,3699.84915,0.013978847414079176,AI_Flip_Bear,97.01216112774728,117.67553868784103,-20.66337756009375,1097.0121611277473,1.2742817298905251e-05
ETH/USDT,2024-06-09 13:15:00,2024-06-09 21:00:00,Short,3690.144005,3703.981065,-5.745984688204556,AI_Flip_Bull,91.26617643954272,117.67553868784103,-26.409362248298308,1091.2661764395427,-0.005237849580717158
ETH/USDT,2024-06-09 21:15:00,2024-06-09 22:00:00,Long,3704.5513499999997,3713.8521450000003,0.5081294135659804,AI_Flip_Bear,91.7743058531087,117.67553868784103,-25.901232834732326,1091.7743058531087,0.000465632880901623
ETH/USDT,2024-06-09 22:15:00,2024-06-10 04:00:00,Short,3709.5443000000005,3685.78197,4.399321790010831,AI_Flip_Bull,96.17362764311953,117.67553868784103,-21.501911044721496,1096.1736276431195,0.004029515776681647
BTC/USDT,2024-06-09 13:15:00,2024-06-10 14:00:00,Short,69485.53985,69404.28480000001,-0.8317886696250159,AI_Flip_Bull,95.34183897349452,117.67553868784103,-22.33369971434651,1095.3418389734945,-0.0007588110575269535
ETH/USDT,2024-06-10 04:15:00,2024-06-10 18:00:00,Long,3691.20468,3697.7502,-0.2284985399400492,AI_Flip_Bear,95.11334043355447,117.67553868784103,-22.562198254286557,1095.1133404335544,-0.00020860934167754586
ETH/USDT,2024-06-10 18:15:00,2024-06-10 20:00:00,Short,3685.226465,3655.16667,6.148681089263839,AI_Flip_Bull,101.26202152281832,117.67553868784103,-16.41351716502271,1101.2620215228183,0.005614652714238222
ETH/USDT,2024-06-10 20:15:00,2024-06-11 01:00:00,Long,3670.144155,3669.434365,-2.19320227763639,AI_Flip_Bear,99.06881924518193,117.67553868784103,-18.6067194426591,1099.0688192451819,-0.0019915353792039348
BTC/USDT,2024-06-10 14:15:00,2024-06-11 01:00:00,Long,69521.64344999999,69500.6323,-2.3019223627112226,AI_Flip_Bear,96.7668968824707,117.67553868784103,-20.908641805370323,1096.7668968824707,-0.002094429686661514
ETH/USDT,2024-06-11 01:15:00,2024-06-11 02:00:00,Short,3667.48534,3613.2657299999996,12.769081637283534,AI_Flip_Bull,109.53597851975424,117.67553868784103,-8.139560168086788,1109.5359785197543,0.011642475418960352
ETH/USDT,2024-06-11 02:15:00,2024-06-11 08:00:00,Long,3598.408305,3507.0256100000006,-27.36991485322823,SL_Hit,82.16606366652601,117.67553868784103,-35.50947502131501,1082.166063666526,-0.024667893049978185
ETH/USDT,2024-06-11 08:15:00,2024-06-11 15:00:00,Long,3526.272255,3523.647295,-2.7436564310317686,AI_Flip_Bear,79.42240723549425,117.67553868784103,-38.25313145234678,1079.4224072354943,-0.0025353377112342645
BTC/USDT,2024-06-11 01:15:00,2024-06-11 15:30:00,Short,69443.4609,66146.2566,45.43293397262134,TP_Hit,124.85534120811559,124.85534120811559,0.0,1124.8553412081155,0.042090041551925195
ETH/USDT,2024-06-11 15:15:00,2024-06-11 17:15:00,Short,3511.74325,3443.98113,17.276568091929803,AI_Flip_Bull,142.13190930004538,142.13190930004538,0.0,1142.1319093000454,0.01535892435144115
BTC/USDT,2024-06-11 15:45:00,2024-06-12 04:30:00,Short,66232.867,67648.6074,-23.353819088036687,SL_Hit,118.77809021200869,142.13190930004538,-23.353819088036687,1118.7780902120087,-0.020447567306257186
ETH/USDT,2024-06-11 17:30:00,2024-06-12 10:00:00,Long,3448.22325,3555.2314950000005,29.001831669396825,AI_Flip_Bear,147.77992188140553,147.77992188140553,0.0,1147.7799218814055,0.02592277407211374
